cell_r0c0,cell_r1c0,cell_r2c0,cell_r3c0,cell_r4c0,cell_r5c0,cell_r0c1,cell_r1c1,cell_r2c1,cell_r3c1,cell_r4c1,cell_r5c1,cell_r0c2,cell_r1c2,cell_r2c2,cell_r3c2,cell_r4c2,cell_r5c2,cell_r0c3,cell_r1c3,cell_r2c3,cell_r3c3,cell_r4c3,cell_r5c3,cell_r0c4,cell_r1c4,cell_r2c4,cell_r3c4,cell_r4c4,cell_r5c4,cell_r0c5,cell_r1c5,cell_r2c5,cell_r3c5,cell_r4c5,cell_r5c5,cell_r0c6,cell_r1c6,cell_r2c6,cell_r3c6,cell_r4c6,cell_r5c6,best_action
empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,"('drop', 6)"
empty,empty,empty,empty,empty,empty,opponent,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,"('drop', 3)"
empty,empty,empty,opponent,empty,empty,player,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,"('drop', 0)"
opponent,empty,empty,player,empty,empty,opponent,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,"('pop', 3)"
player,empty,empty,empty,empty,empty,player,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,"('drop', 2)"
opponent,empty,opponent,empty,empty,empty,opponent,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,"('drop', 1)"
player,opponent,player,empty,empty,empty,player,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,"('pop', 6)"
opponent,player,opponent,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,"('drop', 4)"
player,opponent,player,empty,opponent,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,"('drop', 2)"
opponent,player,opponent,empty,player,empty,empty,empty,empty,opponent,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,"('drop', 4)"
player,opponent,player,empty,opponent,empty,empty,empty,empty,player,empty,opponent,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,"('drop', 1)"
opponent,player,opponent,empty,player,empty,empty,empty,opponent,opponent,empty,player,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,"('drop', 3)"
player,opponent,player,opponent,opponent,empty,empty,empty,player,player,empty,opponent,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,"('drop', 3)"
opponent,player,opponent,player,player,empty,empty,empty,opponent,opponent,opponent,player,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,"('pop', 1)"
player,player,player,opponent,opponent,empty,empty,empty,empty,player,player,opponent,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,"('pop', 0)"
empty,opponent,opponent,player,player,empty,empty,empty,empty,opponent,opponent,player,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,"('pop', 4)"
empty,player,player,opponent,opponent,empty,empty,empty,empty,player,player,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,"('drop', 3)"
empty,opponent,opponent,player,player,empty,empty,empty,empty,opponent,opponent,empty,empty,empty,empty,empty,empty,opponent,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,"('drop', 4)"
empty,player,player,opponent,opponent,empty,empty,empty,empty,player,player,opponent,empty,empty,empty,empty,empty,player,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,"('drop', 4)"
empty,opponent,opponent,player,player,empty,empty,empty,empty,opponent,opponent,player,empty,empty,empty,empty,empty,opponent,opponent,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,"('drop', 3)"
empty,player,player,opponent,opponent,empty,empty,empty,empty,player,player,opponent,empty,empty,empty,empty,empty,player,player,empty,empty,empty,empty,empty,opponent,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,"('drop', 3)"
empty,opponent,opponent,player,player,empty,empty,empty,empty,opponent,opponent,player,empty,empty,empty,empty,empty,opponent,opponent,empty,empty,empty,empty,empty,player,empty,empty,empty,empty,empty,empty,opponent,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,"('drop', 0)"
opponent,player,player,opponent,opponent,empty,empty,empty,empty,player,player,opponent,empty,empty,empty,empty,empty,player,player,empty,empty,empty,empty,empty,opponent,empty,empty,empty,empty,empty,empty,player,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,"('pop', 2)"
player,opponent,opponent,player,player,empty,empty,empty,empty,empty,opponent,player,empty,empty,empty,empty,empty,opponent,opponent,empty,empty,empty,empty,empty,player,empty,empty,empty,empty,empty,empty,opponent,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,"('pop', 0)"
empty,player,player,opponent,opponent,empty,empty,empty,empty,empty,player,opponent,empty,empty,empty,empty,empty,player,player,empty,empty,empty,empty,empty,opponent,empty,empty,empty,empty,empty,empty,player,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,"('drop', 4)"
empty,opponent,opponent,player,player,empty,empty,empty,empty,empty,opponent,player,empty,empty,empty,empty,empty,opponent,opponent,empty,empty,empty,empty,empty,player,opponent,empty,empty,empty,empty,empty,opponent,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,"('pop', 4)"
empty,player,player,opponent,opponent,empty,empty,empty,empty,empty,player,player,empty,empty,empty,empty,empty,player,player,empty,empty,empty,empty,empty,opponent,empty,empty,empty,empty,empty,empty,player,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,"('pop', 2)"
empty,opponent,empty,player,player,empty,empty,empty,empty,empty,opponent,opponent,empty,empty,empty,empty,empty,opponent,opponent,empty,empty,empty,empty,empty,player,empty,empty,empty,empty,empty,empty,opponent,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,"('drop', 6)"
empty,player,empty,opponent,opponent,empty,opponent,empty,empty,empty,player,player,empty,empty,empty,empty,empty,player,player,empty,empty,empty,empty,empty,opponent,empty,empty,empty,empty,empty,empty,player,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,"('drop', 5)"
empty,opponent,empty,player,player,opponent,player,empty,empty,empty,opponent,opponent,empty,empty,empty,empty,empty,opponent,opponent,empty,empty,empty,empty,empty,player,empty,empty,empty,empty,empty,empty,opponent,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,"('drop', 3)"
empty,player,empty,opponent,opponent,player,opponent,empty,empty,empty,player,player,empty,empty,empty,empty,empty,player,player,empty,empty,empty,empty,empty,opponent,empty,empty,empty,empty,empty,empty,player,empty,empty,empty,empty,empty,empty,opponent,empty,empty,empty,"('drop', 6)"
